DATA,TELEFON,ADRESA,KOMPANIYA,MISTO,ROBOTA,KRAYINA,IMYA,POSHTA
date,phone,address,company,city,job,country,name,email
26-08-1979,+44(0)3069990441,"PSC 5871, Box 8285
APO AE 05863","Watson, Williams and Hill",North Christopherland,Retail merchandiser,Liechtenstein,David Martinez,Michael.Barnes@testDomain.com
14-02-1979,+441632 960 306,"4706 Christopher Knoll Suite 031
Westfurt, TX 51599","Spencer, Smith and Mcneil",West Ericton,Control and instrumentation engineer,Vanuatu,Angel Bryan,Tracy.Mueller@testDomain.com
25-12-1981,+44(0)1632960896,"30814 Warren Cliffs
Allenburgh, VT 15312",Carson PLC,Natashaview,"Scientist, research (maths)",Aruba,Jennifer Moore,Jesse.Cooper@testDomain.com
28-11-1977,(0131) 496 0140,"044 Wagner Locks
Samanthabury, MN 83582","Zhang, Martin and Coleman",North Stephanieville,Chief Executive Officer,Montserrat,Sara Jensen,Timothy.Hudson@testDomain.com
27-02-1985,+44(0)131 496 0047,"USS Johnson
FPO AA 93092",Howe Group,Wilsonside,Adult guidance worker,Mauritania,Kevin Tucker,Sean.Wells@testDomain.com
05-09-1994,08081570711,"1760 Diaz Brook
New Jonathanhaven, TN 42027",Paul LLC,East Christopher,Automotive engineer,Nigeria,Carolyn Thomas,Grant.Brooks@testDomain.com
22-04-1995,+44(0)289018425,"8191 Miller Point
North Raymondtown, OH 93132",Whitney Inc,Ronaldtown,"Producer, television/film/video",Finland,Nancy Rodriguez,Valerie.Carpenter@testDomain.com
15-09-1972,+44(0)2074960870,"890 Arroyo Plain Apt. 147
East Lynnhaven, IA 39681","Garcia, Scott and Oliver",Lestermouth,Youth worker,Isle of Man,Monica Hall,Yolanda.Jimenez@testDomain.com
04-08-1988,(020) 7496 0345,"1657 Johnson Common Apt. 351
New Tricia, VT 88016","Williams, Harvey and Mcdonald",Johnshire,Charity officer,Christmas Island,Kelli Adams,Lindsay.Patel@testDomain.com
07-02-1987,+441314960305,"80624 Robert Mews
Masseyfort, AL 52338","Johnson, Wilson and Medina",South Matthewbury,"Engineer, electronics",Holy See (Vatican City State),Ann Ingram,Timothy.Weaver@testDomain.com
